database,RP100G,RP100GP,RP100H,RP100HP,RP100Q,RP100QP
spambase,95.42357673440378,95.48420498669178,95.42539346605922,95.3762275814311,95.7020718690537,95.61229527392877
spectfheart,81.72568172568174,81.71245421245422,83.1939356939357,82.78184778184777,83.1807081807082,80.90048840048841
spectrometer,69.93000999493788,69.52711741335494,67.82884725337557,67.42595467179265,70.11224714776326,68.03503459996247
splice,96.11496769035305,96.61555793494092,96.36526219944675,96.33361910602424,96.39661201017603,96.36437434769488
tae,63.051282051282044,63.05982905982906,64.38461538461537,62.48717948717949,63.170940170940185,62.282051282051285
texture,97.96363636363637,98.03636363636363,98.38181818181818,98.36363636363636,97.96363636363637,98.03636363636363
thoraric-surgery,84.68085106382979,83.82978723404256,83.82978723404256,84.46808510638297,84.46808510638297,84.6808510638298
thyroid,99.62501840558055,99.6249798252592,99.66666586246221,99.63886866034042,99.63888803110066,99.66666586246221
tic-tac-toe,98.854098842467,98.95938460842828,98.96045849158979,99.06462515825646,98.85519533369505,99.16771794176161
titanic,79.47747473934933,79.47747473934933,79.47747473934933,79.44954177845547,79.47747473934933,79.47747473934933
transfusion,73.84721052529271,72.75311985928425,73.68497919867782,73.68503061996213,73.5732893438373,72.97334874389671
twonorm,97.21645048213672,97.32435803413657,96.75709995028419,96.71646812673094,96.77086912533107,96.71628551134998
urban_land,85.71856528815933,85.84751106151633,86.7370976575346,86.1615178314955,86.11744757569838,86.55689123043506
vehicle,75.5065947570316,77.04164492304311,75.40849510809386,76.92833459607625,75.05979418467494,75.86787532978188
voice_rehabilitation,82.64652014652016,82.82051282051282,83.53479853479855,83.47069597069599,81.93223443223445,81.93223443223445
vowel,97.27272727272728,97.27272727272728,97.77777777777779,97.77777777777779,97.57575757575759,97.67676767676768
vsa,77.13891337744624,76.56074588623662,77.19632119760129,77.0367257999698,76.82842210148101,76.77184669118105
waveform-1,85.20133756583218,85.36141788711734,85.04045451266141,85.04057475410625,85.24089748214415,84.88125532068395
waveform-2,85.48023535010475,84.82162889097773,85.66091415664467,85.67887964938315,85.18075191982044,85.18047423106029
wdbc,96.49371273010111,96.83238268084,96.6569440843488,96.65381125226858,96.83238268084003,96.838540316308
wholesale,91.62003758515387,91.635424007517,91.16549213060841,91.39781536293165,91.17559314070941,91.40791637303263
wine,97.80357757137942,98.3298933608531,97.27726178190575,97.80357757137942,97.80357757137942,97.80357757137942
wisconsin,97.51052919545495,97.51052919545498,97.21208535328473,97.21641154839615,96.92003537300711,97.36560165922307
yeast,62.20773444968902,62.87539428949016,64.06120608383246,62.78050221609855,62.5286561148161,63.052328074145564
zoo,96.8409090909091,96.8409090909091,98.0909090909091,99.0,96.00757575757576,97.18181818181817
