database,RFUT100G,RFUT100GP,RFUT100H,RFUT100HP,RFUT100Q,RFUT100QP
parkinsons,90.69590643274854,90.19590643274854,90.7514619883041,90.19590643274854,89.7514619883041,91.19590643274854
penbased,99.14200848852941,99.13509416459623,99.2093631822773,99.20500604682007,99.11860648534771,99.0980651968634
phishing,96.87029926487338,96.88841520690237,96.87942272501905,96.91560548481702,96.92466345583152,96.8703565863922
phoneme,91.55389889184447,91.56168557708563,91.51513079288361,91.51328587089348,91.60317344862102,91.58545871023033
pima,77.1726589200273,77.09859876965137,77.33079289131919,77.19326725905671,77.14993164730005,77.0328776486671
ring,94.7592856718047,94.75224327448528,95.24293265396463,95.2367281419137,95.05188534044167,95.0796899723871
saheart,68.35818686401478,68.18529139685475,68.29361702127657,68.08714153561516,68.18760407030526,67.99759481961144
seeds,93.33333333333334,93.80952380952381,94.28571428571428,94.28571428571428,94.76190476190474,95.23809523809521
segment,98.11732212661802,98.09662686208966,98.19230784521186,98.18100576635352,98.14619001454471,98.13415223942425
seismic-bumps,93.22797880937415,93.07294004968423,93.38286791775165,93.03492861632397,93.18966807338902,93.11214869354406
sensor-readings,99.61511342904426,99.57881920476719,99.59686512827915,99.56020123968896,99.59686512827913,99.67026061210015
shuttle,99.98589820225956,99.98596700731818,99.98927670486918,99.98931102133558,99.98624254859702,99.98610478990358
sonar,85.07670995670996,84.5987445887446,84.46484848484852,84.41930735930735,84.9959307359307,85.26380952380954
spambase,95.45471977378298,95.3759461292708,95.62801835714299,95.60295349383742,95.56582588159831,95.5158690329322
spectfheart,81.52557997557999,81.56371591371588,82.26461131461134,82.12596662596665,81.85388685388689,81.66864061864062
spectrometer,69.70973516145547,70.26433362337913,67.25851589114632,67.42661985114816,68.75047955292129,68.53717760432522
splice,96.50772242535506,96.5686402039608,96.33644018155672,96.39091562258974,96.44643760378341,96.51149960616021
tae,62.7230769230769,63.449743589743576,61.615042735042735,62.476923076923086,62.48410256410256,63.07794871794872
texture,97.93745454545459,97.92145454545458,98.31054545454545,98.33454545454542,98.04436363636361,98.02909090909088
thoraric-surgery,84.04255319148936,84.6808510638298,84.8936170212766,84.46808510638297,84.25531914893618,84.68085106382979
thyroid,99.64638648462349,99.64804312039769,99.63888298503105,99.63416693138697,99.63333513482301,99.6397217163809
tic-tac-toe,98.86066038162413,98.986387230964,98.8902199764876,99.00088555796708,98.91730557062759,98.97375610417795
titanic,79.47691608013152,79.47691608013152,79.47635742091364,79.47524010247788,79.47747473934939,79.47468144326001
transfusion,73.5442905648385,72.75126869304952,73.65032407840624,73.37635147566654,73.45769147139009,74.09228719160225
twonorm,97.10669835734501,97.10508509605297,96.75759093295879,96.76328521220624,96.75056830350755,96.74270817228016
urban_land,85.69170872613654,84.80608234626462,86.92257866608577,87.76268527729212,86.57609857892629,86.59521519129424
vehicle,75.64438868779884,75.78174706098089,76.15176651026569,76.25453129285255,75.83246824693974,75.82492565781651
voice_rehabilitation,84.24908424908425,81.2820512820513,82.7014652014652,81.93223443223442,83.47985347985349,82.70146520146521
vowel,97.34343434343432,97.35555555555557,97.91313131313134,97.90101010101013,97.57575757575758,97.410101010101
vsa,76.98604988655427,76.93002272186837,77.03672579996979,77.0378457148563,76.93228644569407,77.03981050753198
waveform-1,85.12117644229613,85.16185845177118,84.92201717047831,84.94025346896568,84.92185652790803,85.08161748791575
waveform-2,85.00075255886682,85.38047455106155,85.48043495090316,85.10051351408592,85.3209909646013,85.21983438658854
wdbc,96.48882119090831,96.42952640221242,96.65649900613602,96.63605565638234,96.71350142597873,96.64655820585949
wholesale,91.62508809020437,91.16549213060841,92.07963354474983,90.94832041343668,91.39252995066947,91.18064364575991
wine,97.90884072927415,97.91936704506361,97.47901616787067,97.4246302029584,97.71001031991744,97.63574131406948
wisconsin,97.40325418941103,97.41279981168331,97.18647046099427,97.26281444440205,97.36290096830432,97.33084640734945
yeast,62.75240452776202,62.86334406936174,62.755596406514485,62.84601948512618,62.99938820320553,62.991678129969614
zoo,96.905303030303,97.17709790209787,97.95643356643352,98.04657342657339,96.80355477855474,97.07989510489506
