database,FW10100G,FW10100GP,FW10100H,FW10100HP,FW10100Q,FW10100QP
liver-disorders,2.5024504730575997e-08,3.000206350375841e-08,3.386190082133037e-08,4.125102274570289e-08,2.555718096268595e-08,2.949401569937704e-08
lsd,0.001177561695190375,0.001168164537594394,0.0010713076819447091,0.001059437412090796,0.0012354850100510279,0.0012252131583451078
lymphography,0.00030669128423354186,0.0002865068569662181,0.0002811013649147373,0.00026191307139622136,0.00029152657036819523,0.0002813273353901549
magic,1.2362962040751081e-05,1.283590800734297e-05,1.058064811307722e-05,1.1491922680425893e-05,1.1541082762888743e-05,1.294598211103444e-05
mammographic,0.021662680309575237,0.01944874121390151,0.02134609622587804,0.01935129194010926,0.021412793749800547,0.018961163183901432
marketing,0.0007890636752177409,0.0007712483659054573,0.0006922000077496212,0.0006902800225158452,0.000818150962354659,0.00080196373140453
meth,0.001122723481184979,0.001111563400117433,0.001115485043702629,0.0011122979134323648,0.001177164666346844,0.001160524929493728
mfeat,3.986087025997718e-07,3.969163759291377e-07,4.948198772205764e-07,5.007782464401605e-07,3.953722585392704e-07,4.009614062503491e-07
ml-prove,7.877014998227353e-05,7.660397550670608e-05,7.810416892579009e-05,7.661910783937016e-05,8.054191665139718e-05,7.856097987040389e-05
movement_libras,6.695188670374524e-08,6.74014216363296e-08,9.76540790716165e-08,1.0857543767004589e-07,8.848937933182102e-08,8.39526616045741e-08
mushrooms,0.0012118056745745512,0.0012081300520562109,0.0010664816059652248,0.0010534294935545853,0.001272237000471931,0.0012726929670775892
musk1,3.889376839958633e-07,3.950217405110034e-07,4.564610040504838e-07,4.927944450473056e-07,3.4805567514065346e-07,3.736841116021169e-07
musk2,1.7586664687392591e-06,1.823965967513723e-06,1.0477702201008561e-06,1.092274009467516e-06,1.2547067618311262e-06,1.339013907928778e-06
newthyroid,3.685002400785856e-07,4.383919766924487e-07,1.5063190654897107e-05,1.3567110306578344e-05,1.5477344655128429e-06,2.0261259482379164e-06
nicotin,0.0012107598847923271,0.001213881795801299,0.0012045857240860851,0.0012029804738093181,0.0012926274416479781,0.001286384315867453
optdigits,9.24144097195859e-05,9.24804025218262e-05,9.692428216718919e-05,9.721553330605109e-05,9.665984466543258e-05,9.686911219643375e-05
ozone,1.7547726620977549e-06,1.572187977575885e-06,1.3493113621608125e-06,1.3289118135579426e-06,1.2763095640088565e-06,1.3722331332130046e-06
page-blocks,3.513113539903595e-05,3.200072075466628e-05,3.5662446594453135e-05,2.876900724526655e-05,3.2164674883138644e-05,2.9275089541351967e-05
parkinsons,3.743249122816694e-07,3.4403523082733844e-07,5.066053111339535e-07,3.9403798127681744e-07,3.444078007203579e-07,3.9768278905622944e-07
penbased,1.983134648066822e-06,1.5157892271502056e-06,8.234406560554871e-07,8.549690238165278e-07,1.2430278869531363e-06,9.766787886808894e-07
phishing,0.00018494334998144982,0.000172097973126481,0.00016729586699423018,0.0001577163254897223,0.00017928914296294003,0.00016708059877374853
phoneme,1.7747516687899695e-08,1.3339014505942304e-08,1.2618039836036089e-06,2.1990729288150184e-06,3.0376484606420935e-07,4.462340488509747e-07
pima,0.00020198800748787697,0.00020061212738657148,0.00021897203712991292,0.00022408136532873032,0.0002158353767052262,0.00021618847794490167
ring,5.371387757024123e-09,4.570919474849978e-09,5.678274428722549e-09,6.233051776765209e-09,5.6325529468290235e-09,5.224176571788029e-09
saheart,0.000431607999736032,0.0004045184376027974,0.0004939918632157786,0.0004986227963131482,0.00042337343380775534,0.00042361656427968773
seeds,1.3880323437194482e-07,1.229231112088683e-07,1.423617271952497e-07,1.410266601817677e-07,1.377270260821232e-07,1.499643169044193e-07
segment,0.0005229278972039252,0.000529649914263049,0.0005505850816260745,0.0005582674665024679,0.0005417403344583028,0.0005407012732330915
seismic-bumps,0.002702666665045437,0.0026940229177351365,0.0027715142601082198,0.002772789332654693,0.002717286387024759,0.0027315444091057382
sensor-readings,5.693476692159951e-05,5.63729463477409e-05,8.232115195076108e-05,8.528437599537758e-05,6.420583540267855e-05,6.718882925999385e-05
shuttle,0.001548541033632752,0.001508133048608762,0.0025363450613702593,0.0025869678030912904,0.0015732996652463409,0.001635137016483798
sonar,2.3704701811959396e-07,2.3089709385891182e-07,2.8559655274101e-07,2.811474484992596e-07,2.698594822907478e-07,2.6850441375096456e-07
spambase,0.00018783428240190671,0.0001788233564583832,0.00017769150186428716,0.00017051924200447622,0.0001892227013941363,0.00018095795921161978
spectfheart,1.6892861689313219e-07,1.6664016630228e-07,2.2314038537657803e-07,2.672313344354623e-07,1.800367478397713e-07,1.836511879241508e-07
spectrometer,5.79451737203621e-07,6.253417383990252e-07,3.197518883836753e-07,2.8445895289651074e-07,5.943236910176357e-07,6.530611354709492e-07
