database,RP100G,RP100GP,RP100H,RP100HP,RP100Q,RP100QP
spectrometer,0.7656374455223138,0.7516760021379585,0.7476424046332514,0.7336387962882528,0.7553419844044843,0.7486988705738706
splice,0.9787255974946968,0.9813007563178134,0.9809224263800165,0.9806270855907269,0.980048233868839,0.980018679584998
tae,0.775,0.7825,0.7988888888888889,0.7813888888888888,0.7899999999999998,0.7691666666666666
texture,0.9979318999191638,0.9980100310530403,0.9983585024145054,0.9983425614152817,0.997931984302425,0.9980100475006249
thoraric-surgery,0.5092857142857141,0.4925,0.4925,0.502142857142857,0.5080357142857141,0.5033928571428571
thyroid,0.9963005089919342,0.9963000934516224,0.9975313408406354,0.9950841199022007,0.9970557881729242,0.9961508491126704
tic-tac-toe,0.9834670231729057,0.9849376114081997,0.9849821746880572,0.9864973262032086,0.9834670231729057,0.9879679144385027
titanic,0.7077778023028342,0.7077778023028342,0.7077778023028342,0.7075919286968861,0.7077778023028342,0.7077778023028342
transfusion,0.5936834748428221,0.5862960501759856,0.5963200658013309,0.6060510582398173,0.5917018943318297,0.5954550047499283
twonorm,0.9721606321330206,0.9732413588396099,0.9675682210380783,0.9671631858010137,0.9677070104750731,0.9671635460981989
urban_land,0.9801167119917119,0.9799359513942848,0.9804667400500733,0.9802198264698265,0.9794938163688162,0.9814929746179747
vehicle,0.9044967315894175,0.9116480478728931,0.9026666750718608,0.9094514170684838,0.9012145258565536,0.9072788547953019
voice_rehabilitation,0.7770833333333332,0.7777777777777777,0.7833333333333332,0.7895833333333332,0.7645833333333332,0.7715277777777777
vowel,0.9972474747474747,0.9972186147186146,0.9977525252525254,0.9977272727272727,0.9974963924963924,0.9975974025974026
vsa,0.8600204098592146,0.857470407439582,0.8597291765076365,0.8618556132892458,0.8599480279032713,0.8600332100237627
waveform-1,0.9195399575918989,0.9203974426051156,0.9184738368518298,0.9184529761864191,0.9196099249103691,0.917710814109566
waveform-2,0.921352121300268,0.9173188665644562,0.922459138974895,0.922506517843513,0.919405422698931,0.9195928390950201
wdbc,0.9596789321789322,0.9650685425685424,0.9618434343434343,0.960811688311688,0.9631240981240978,0.9632323232323232
wholesale,0.9055418719211822,0.90559934318555,0.900303776683087,0.9057799671592776,0.9003037766830871,0.9060180623973727
wine,0.990376984126984,0.9931547619047618,0.9870436507936509,0.990376984126984,0.990376984126984,0.990376984126984
wisconsin,0.9750609354413701,0.9770454545454544,0.9718412384716734,0.9718664909969259,0.9685562143170839,0.9739498243302591
yeast,0.9167711341462675,0.9121653033642334,0.9177700879618346,0.9228304373163919,0.9157036591301544,0.9168575318884413
zoo,0.9928571428571429,0.9928571428571429,0.9952380952380953,0.9976190476190476,0.9904761904761905,0.9928571428571427
